"Story","Title","Result","Date","Stability","Duration (s)"
"Airbnb sign up","Verify the signup at the AirBnb portal","SUCCESS","2019-01-29T14:57:12.498+05:30[Asia/Calcutta]","0.0","25.76"
"Airbnb login","Verify the login at the Airbnb portal","SUCCESS","2019-01-29T15:15:31.571+05:30[Asia/Calcutta]","0.0","17.0"
